"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","Breed",48.0000000002,"M",122.524983519681,2.21981682801431,"Estimable"
"glucose","Breed",48.0000000002,"QH",100.633226401847,2.0565579159583,"Estimable"
"glucose","Breed",48.0000000002,"T",124.699179120704,3.9790713412803,"Estimable"
"glucose","Breed",48.0000000002,"WP ",127.209798534046,3.29308517623255,"Estimable"
"glucose","Breed",57.0000000003,"A",114.081172715749,2.13605958411608,"Estimable"
"glucose","Breed",57.0000000003,"M",126.622290086491,2.22116989517193,"Estimable"
"glucose","Breed",57.0000000003,"QH",102.819859471043,2.05586174196459,"Estimable"
"glucose","Breed",57.0000000003,"T",129.021844377932,3.97687270457479,"Estimable"
"glucose","Breed",57.0000000003,"WP ",131.516589751967,3.28792530443053,"Estimable"
"glucose","Breed",60,"A",114.890591985861,2.14185342282818,"Estimable"
"glucose","Breed",60,"M",127.78766993002,2.22786483088463,"Estimable"
"glucose","Breed",60,"QH",103.466464867478,2.06128842795533,"Estimable"
"glucose","Breed",60,"T",130.339048352762,3.98705863136304,"Estimable"
"glucose","Breed",60,"WP ",132.744990132173,3.29511943255128,"Estimable"
"glucose","Breed",69.0000000001,"A",116.846441030069,2.16682865418098,"Estimable"
"glucose","Breed",69.0000000001,"M",130.68264242516,2.25634590922384,"Estimable"
"glucose","Breed",69.0000000001,"QH",105.159464177329,2.08493370391014,"Estimable"
"glucose","Breed",69.0000000001,"T",133.919606945394,4.03195116528889,"Estimable"
"glucose","Breed",69.0000000001,"WP ",135.808601196308,3.32863592328177,"Estimable"
"glucose","Breed",75,"A",117.756666420844,2.18423188195532,"Estimable"
"glucose","Breed",75,"M",132.111651558675,2.27673991006112,"Estimable"
"glucose","Breed",75,"QH",106.082449650808,2.10148073899049,"Estimable"
"glucose","Breed",75,"T",135.997434896836,4.06354590093692,"Estimable"
"glucose","Breed",75,"WP ",137.333016841604,3.35262639408355,"Estimable"
"glucose","Breed",84.0000000001,"A",118.531493549036,2.20353765137685,"Estimable"
"glucose","Breed",84.0000000001,"M",133.503706464201,2.3019137610825,"Estimable"
"glucose","Breed",84.0000000001,"QH",107.158406761469,2.11986490081327,"Estimable"
"glucose","Breed",84.0000000001,"T",138.650360158705,4.09879276714896,"Estimable"
"glucose","Breed",84.0000000001,"WP ",138.842652713483,3.37919581201868,"Estimable"
"glucose","Breed",90,"A",118.654370995822,2.20921860667851,"Estimable"
"glucose","Breed",90,"M",133.930770538003,2.31293929173325,"Estimable"
"glucose","Breed",90,"QH",107.670030768831,2.12528443595923,"Estimable"
"glucose","Breed",90,"T",140.109765889657,4.10927406393064,"Estimable"
"glucose","Breed",90,"WP ",139.331084897303,3.38660086963266,"Estimable"
"glucose","Breed",99.0000000001,"A",118.248176207999,2.20552008620234,"Estimable"
"glucose","Breed",99.0000000001,"M",133.819907853915,2.32076177059431,"Estimable"
"glucose","Breed",99.0000000001,"QH",108.128945680302,2.12180088029018,"Estimable"
"glucose","Breed",99.0000000001,"T",141.835057820765,4.10279006926534,"Estimable"
"glucose","Breed",99.0000000001,"WP ",139.286745576924,3.3799679592595,"Estimable"
"glucose","Breed",108.0000000002,"A",117.133368270559,2.18942440354928,"Estimable"
"glucose","Breed",108.0000000002,"M",132.80729461605,2.3226416459616,"Estimable"
"glucose","Breed",108.0000000002,"QH",108.217635272254,2.10659996197515,"Estimable"
"glucose","Breed",108.0000000002,"T",143.003769753409,4.07380271478104,"Estimable"
"glucose","Breed",108.0000000002,"WP ",138.310021141182,3.35524857502765,"Estimable"
"glucose","Breed",117.0000000003,"A",115.309947183501,2.16813950650474,"Estimable"
"glucose","Breed",117.0000000003,"M",130.892930824406,2.32888231235901,"Estimable"
"glucose","Breed",117.0000000003,"QH",107.936099544688,2.08666767646327,"Estimable"
"glucose","Breed",117.0000000003,"T",143.615901687589,4.03555544197767,"Estimable"
"glucose","Breed",117.0000000003,"WP ",136.400911590075,3.32296628348116,"Estimable"
"glucose","Breed",120,"A",114.544670565768,2.16191822864771,"Estimable"
"glucose","Breed",120,"M",130.054420548673,2.3345281813452,"Estimable"
"glucose","Breed",120,"QH",107.759982008962,2.08093150425848,"Estimable"
"glucose","Breed",120,"T",143.696261221541,4.02447345366564,"Estimable"
"glucose","Breed",120,"WP ",135.557345047502,3.31350153906772,"Estimable"
"glucose","Breed",129.0000000001,"A",111.776431945914,2.15439700947904,"Estimable"
"glucose","Breed",129.0000000001,"M",126.937722685359,2.37213482503168,"Estimable"
"glucose","Breed",129.0000000001,"QH",106.984812522052,2.07466678624584,"Estimable"
"glucose","Breed",129.0000000001,"T",143.566286491125,4.01187946384788,"Estimable"
"glucose","Breed",129.0000000001,"WP ",132.40505534261,3.30154092150681,"Estimable"
"glucose","Breed",138.0000000002,"A",108.299580176442,2.17963919309696,"Estimable"
"glucose","Breed",138.0000000002,"M",122.919274268267,2.45775888270652,"Estimable"
"glucose","Breed",138.0000000002,"QH",105.839417715624,2.10026160789317,"Estimable"
